iucn_sid,am_sid,sciname,cat_code,pop_trend,spatial_source,rgn_id,rgn_name,n_cells,presence,n_spp_rgn
2811,Chn-ae156111-0d32-4a94-8720-9d7733c99831,Birgus latro,DD,NA,am,147,French Polynesia,71,NA,6825
3381,Fis-26816,Butis butis,LC,stable,am,147,French Polynesia,3,NA,6825
6494,Rep-4381,Dermochelys coriacea,VU,decreasing,am,147,French Polynesia,1747,NA,6825
6814,Fis-53099,Dunckerocampus dactyliophorus,DD,NA,am,147,French Polynesia,116,NA,6825
8407,Fis-25213,Eurypegasus draconis,DD,NA,am,147,French Polynesia,122,NA,6825
9266,Fis-152317,Psammogobius biocellatus,LC,stable,am,147,French Polynesia,100,NA,6825
10057,Fis-112788,Hippocampus abdominalis,DD,NA,am,147,French Polynesia,2,NA,6825
10070,Fis-31607,Hippocampus histrix,VU,decreasing,am,147,French Polynesia,99,NA,6825
10072,Fis-30113,Hippocampus ingens,VU,decreasing,am,147,French Polynesia,33,NA,6825
10087,Fis-52583,Hippocampus trimaculatus,VU,decreasing,am,147,French Polynesia,50,NA,6825
12103,Fis-25001,Liosaccus pachygaster,VU,NA,am,147,French Polynesia,147,NA,6825
16011,Fis-50720,Favonigobius melanobranchus,NT,NA,am,147,French Polynesia,2,NA,6825
16476,Fis-31035,Pegasus volitans,DD,NA,am,147,French Polynesia,4,NA,6825
20314,Fis-59365,Solegnathus dunckeri,DD,NA,am,147,French Polynesia,1,NA,6825
20315,Fis-54098,Solegnathus hardwickii,DD,NA,am,147,French Polynesia,6,NA,6825
20316,Fis-32766,Solegnathus lettiensis,DD,NA,am,147,French Polynesia,5,NA,6825
20318,Fis-29098,Solegnathus spinosissimus,DD,NA,am,147,French Polynesia,6,NA,6825
22138,W-Msc-207675,Tridacna maxima,VU,NA,am,147,French Polynesia,119,NA,6825
22140,W-Msc-207674,Tridacna squamosa,VU,NA,am,147,French Polynesia,118,NA,6825
39302,Fis-144619,Anthias regalis,VU,NA,am,147,French Polynesia,74,NA,6825
