"","iucn_sid","sciname","rgn_name","year","cat_ts","cat_ts_score"
"311",183449,"Prionotus ruscarius","French Polynesia",2010,"LC",0
"312",183450,"Enchelycore octaviana","French Polynesia",2010,"LC",0
"313",183454,"Gobiosoma chiquita","French Polynesia",2010,"LC",0
"314",183474,"Dactyloscopus minutus","French Polynesia",2010,"LC",0
"315",183489,"Anisotremus interruptus","French Polynesia",2010,"LC",0
"316",183491,"Scorpaena mystes","French Polynesia",2010,"LC",0
"317",183497,"Dactylagnus parvus","French Polynesia",2010,"LC",0
"318",183504,"Arcos erythrops","French Polynesia",2010,"LC",0
"319",183508,"Synodus evermanni","French Polynesia",2010,"LC",0
"320",183509,"Chiloconger dentatus","French Polynesia",2010,"LC",0
"321",183515,"Pseudupeneus grandisquamis","French Polynesia",2010,"LC",0
"322",183517,"Elacatinus puncticulatus","French Polynesia",2010,"LC",0
"323",183521,"Dactyloscopus pectoralis","French Polynesia",2010,"LC",0
"324",183522,"Antennatus strigatus","French Polynesia",2010,"LC",0
"325",183541,"Dactyloscopus lunaticus","French Polynesia",2010,"LC",0
"326",183545,"Bathygobius andrei","French Polynesia",2010,"LC",0
"327",183547,"Syacium latifrons","French Polynesia",2010,"LC",0
"328",183553,"Lonchopisthus sinuscalifornicus","French Polynesia",2010,"LC",0
"329",183555,"Malacoctenus tetranemus","French Polynesia",2010,"LC",0
"330",183573,"Elacatinus janssi","French Polynesia",2010,"LC",0
"331",183575,"Cheilopogon dorsomacula","French Polynesia",2010,"LC",0
"332",183593,"Porichthys margaritatus","French Polynesia",2010,"LC",0
"333",183595,"Hyporhamphus gilli","French Polynesia",2010,"LC",0
"334",183599,"Tomicodon petersii","French Polynesia",2010,"LC",0
"335",183605,"Ekemblemaria myersi","French Polynesia",2010,"LC",0
"336",183606,"Symphurus prolatinaris","French Polynesia",2010,"LC",0
"337",183628,"Emblemaria piratica","French Polynesia",2010,"LC",0
"338",183638,"Dactylagnus mundus","French Polynesia",2010,"LC",0
"339",183643,"Muraena clepsydra","French Polynesia",2010,"LC",0
"340",183645,"Cyclopsetta panamensis","French Polynesia",2010,"LC",0
"341",183649,"Bathygobius ramosus","French Polynesia",2010,"LC",0
"342",183660,"Antennatus sanguineus","French Polynesia",2010,"LC",0
"343",183668,"Gymneleotris seminudus","French Polynesia",2010,"LC",0
"344",183678,"Ophichthus zophochir","French Polynesia",2010,"LC",0
"345",183679,"Enneanectes carminalis","French Polynesia",2010,"LC",0
"346",183680,"Genyatremus dovii","French Polynesia",2010,"LC",0
"347",183683,"Symphurus oligomerus","French Polynesia",2010,"LC",0
"348",183684,"Trachinotus paitensis","French Polynesia",2010,"LC",0
"349",183688,"Hemicaranx zelotes","French Polynesia",2010,"LC",0
"350",183691,"Xenichthys xanti","French Polynesia",2010,"LC",0
"351",183692,"Ophichthus triserialis","French Polynesia",2010,"LC",0
"352",183694,"Platygillellus bussingi","French Polynesia",2010,"NT",0.2
"353",183699,"Emblemaria hypacanthus","French Polynesia",2010,"LC",0
"354",183700,"Scorpaena russula","French Polynesia",2010,"LC",0
"355",183707,"Echiodon exsilium","French Polynesia",2010,"LC",0
"356",183719,"Trachinotus kennedyi","French Polynesia",2010,"LC",0
"357",183730,"Starksia spinipenis","French Polynesia",2010,"LC",0
"358",183737,"Fowlerichthys avalonis","French Polynesia",2010,"LC",0
"359",183743,"Syngnathus auliscus","French Polynesia",2010,"LC",0
"360",183743,"Syngnathus auliscus","French Polynesia",2016,"LC",0
"361",183752,"Fodiator rostratus","French Polynesia",2010,"LC",0
"362",183767,"Hemiramphus saltator","French Polynesia",2010,"LC",0
"363",183776,"Hirundichthys rondeletii","French Polynesia",2010,"LC",0
"364",183788,"Paraclinus mexicanus","French Polynesia",2010,"LC",0
"365",183796,"Symphurus callopterus","French Polynesia",2010,"LC",0
"366",183804,"Starksia fulva","French Polynesia",2010,"LC",0
"367",183810,"Symphurus atramentatus","French Polynesia",2010,"LC",0
"368",183828,"Ophichthus mecopterus","French Polynesia",2010,"LC",0
"369",183833,"Haemulopsis leuciscus","French Polynesia",2010,"LC",0
"370",183835,"Eucinostomus entomelas","French Polynesia",2010,"LC",0
"371",183840,"Labrisomus xanti","French Polynesia",2010,"LC",0
"372",183850,"Gymnothorax equatorialis","French Polynesia",2010,"LC",0
"373",183859,"Gymnothorax porphyreus","French Polynesia",2010,"LC",0
"374",183868,"Prognichthys sealei","French Polynesia",2010,"LC",0
"375",183897,"Prionotus albirostris","French Polynesia",2010,"LC",0
"376",183916,"Gobulus hancocki","French Polynesia",2010,"LC",0
"377",183921,"Muraena lentiginosa","French Polynesia",2010,"LC",0
"378",183929,"Mugil hospes","French Polynesia",2010,"LC",0
"379",183930,"Grammonus diagrammus","French Polynesia",2010,"LC",0
"380",183933,"Hippoglossina tetrophthalma","French Polynesia",2010,"LC",0
"381",183940,"Scorpaena histrio","French Polynesia",2010,"LC",0
"382",183956,"Haemulopsis nitidus","French Polynesia",2010,"LC",0
"383",183972,"Oligoplites altus","French Polynesia",2010,"LC",0
"384",183982,"Argentina aliceae","French Polynesia",2010,"LC",0
"385",183989,"Menticirrhus paitensis","French Polynesia",2010,"LC",0
"386",183994,"Scorpaenodes xyris","French Polynesia",2010,"LC",0
"387",184003,"Trachinotus stilbe","French Polynesia",2010,"LC",0
"388",184006,"Kathetostoma averruncus","French Polynesia",2010,"LC",0
"389",184009,"Axoclinus lucillae","French Polynesia",2010,"LC",0
"390",184012,"Gillellus semicinctus","French Polynesia",2010,"LC",0
"391",184013,"Parrella maxillaris","French Polynesia",2010,"LC",0
"392",184023,"Conodon serrifer","French Polynesia",2010,"LC",0
"393",184041,"Myrichthys tigrinus","French Polynesia",2010,"LC",0
"394",184046,"Myrophis vafer","French Polynesia",2010,"LC",0
"395",184055,"Doryrhamphus excisus ssp. excisus","French Polynesia",2010,"LC",0
"396",184056,"Sardinops sagax ssp. sagax","French Polynesia",2010,"LC",0
"397",184918,"Auriculastra subula","French Polynesia",2012,"LC",0
"398",184918,"Auriculastra subula","French Polynesia",2016,"LC",0
"399",185928,"Apogon robbyi","French Polynesia",2015,"LC",0
"400",185933,"Zapogon evermanni","French Polynesia",2015,"LC",0
"401",186005,"Gobiesox strumosus","French Polynesia",2015,"LC",0
"402",188101,"Ophiocara porocephala","French Polynesia",2012,"LC",0
"403",188101,"Ophiocara porocephala","French Polynesia",2017,"LC",0
"404",189550,"Littoraria undulata","French Polynesia",2011,"LC",0
"405",189818,"Lestidiops jayakari","French Polynesia",2015,"LC",0
