"","iucn_sid","sciname","rgn_name","year","cat_ts","cat_ts_score"
"1",2811,"Birgus latro","French Polynesia",1983,"EN",0.6
"2",2811,"Birgus latro","French Polynesia",1986,"EN",0.6
"3",2811,"Birgus latro","French Polynesia",1988,"EN",0.6
"4",2811,"Birgus latro","French Polynesia",1990,"EN",0.6
"5",2811,"Birgus latro","French Polynesia",1994,"EN",0.6
"6",3381,"Butis butis","French Polynesia",1996,"NT",0.2
"7",3381,"Butis butis","French Polynesia",2010,"LC",0
"8",3381,"Butis butis","French Polynesia",2012,"LC",0
"9",3381,"Butis butis","French Polynesia",2017,"LC",0
"10",6494,"Dermochelys coriacea","French Polynesia",1982,"EN",0.6
"11",6494,"Dermochelys coriacea","French Polynesia",1986,"EN",0.6
"12",6494,"Dermochelys coriacea","French Polynesia",1988,"EN",0.6
"13",6494,"Dermochelys coriacea","French Polynesia",1990,"EN",0.6
"14",6494,"Dermochelys coriacea","French Polynesia",1994,"EN",0.6
"15",6494,"Dermochelys coriacea","French Polynesia",1996,"EN",0.6
"16",6494,"Dermochelys coriacea","French Polynesia",2000,"CR",0.8
"17",6494,"Dermochelys coriacea","French Polynesia",2013,"VU",0.4
"18",8407,"Eurypegasus draconis","French Polynesia",2017,"LC",0
"19",9266,"Psammogobius biocellatus","French Polynesia",1996,"NT",0.2
"20",9266,"Psammogobius biocellatus","French Polynesia",2012,"LC",0
"21",9266,"Psammogobius biocellatus","French Polynesia",2017,"LC",0
"22",10057,"Hippocampus abdominalis","French Polynesia",1996,"VU",0.4
"23",10057,"Hippocampus abdominalis","French Polynesia",2017,"LC",0
"24",10070,"Hippocampus histrix","French Polynesia",2012,"VU",0.4
"25",10070,"Hippocampus histrix","French Polynesia",2017,"VU",0.4
"26",10072,"Hippocampus ingens","French Polynesia",1996,"VU",0.4
"27",10072,"Hippocampus ingens","French Polynesia",2003,"VU",0.4
"28",10072,"Hippocampus ingens","French Polynesia",2012,"VU",0.4
"29",10072,"Hippocampus ingens","French Polynesia",2017,"VU",0.4
"30",10087,"Hippocampus trimaculatus","French Polynesia",1996,"VU",0.4
"31",10087,"Hippocampus trimaculatus","French Polynesia",2003,"VU",0.4
"32",10087,"Hippocampus trimaculatus","French Polynesia",2015,"VU",0.4
"33",12103,"Liosaccus pachygaster","French Polynesia",1996,"VU",0.4
"34",16011,"Favonigobius melanobranchus","French Polynesia",1996,"NT",0.2
"35",20314,"Solegnathus dunckeri","French Polynesia",1996,"VU",0.4
"36",20315,"Solegnathus hardwickii","French Polynesia",1996,"VU",0.4
"37",20316,"Solegnathus lettiensis","French Polynesia",1996,"VU",0.4
"38",20318,"Solegnathus spinosissimus","French Polynesia",1996,"VU",0.4
"39",22138,"Tridacna maxima","French Polynesia",1996,"VU",0.4
"40",22140,"Tridacna squamosa","French Polynesia",1996,"VU",0.4
"41",39302,"Anthias regalis","French Polynesia",1996,"VU",0.4
"42",40715,"Syngnathoides biaculeatus","French Polynesia",2017,"LC",0
"43",41005,"Hippocampus mohnikei","French Polynesia",1996,"VU",0.4
"44",41005,"Hippocampus mohnikei","French Polynesia",2017,"VU",0.4
"45",44669,"Choerodon schoenleinii","French Polynesia",2004,"NT",0.2
"46",44670,"Choerodon cyanodus","French Polynesia",2004,"LC",0
"47",61250,"Lutjanus argentimaculatus","French Polynesia",2016,"LC",0
"48",133065,"Tubipora musica","French Polynesia",2008,"NT",0.2
"49",135567,"Mugil cephalus","French Polynesia",2008,"LC",0
"50",135567,"Mugil cephalus","French Polynesia",2012,"LC",0
"51",135567,"Mugil cephalus","French Polynesia",2017,"LC",0
"52",154613,"Synaphobranchus affinis","French Polynesia",2010,"LC",0
"53",154614,"Pentaceros decacanthus","French Polynesia",2010,"LC",0
"54",154616,"Diaphus diadematus","French Polynesia",2010,"LC",0
"55",154628,"Uropterygius fuscoguttatus","French Polynesia",2010,"LC",0
"56",154641,"Gobiodon histrio","French Polynesia",2010,"LC",0
"57",154657,"Bathygobius lineatus","French Polynesia",2010,"VU",0.4
"58",154658,"Plectranthias bilaticlavia","French Polynesia",2010,"LC",0
"59",154660,"Genyagnus monopterygius","French Polynesia",2010,"LC",0
"60",154670,"Parupeneus multifasciatus","French Polynesia",2010,"LC",0
"61",154673,"Bathyuroconger vicinus","French Polynesia",2010,"LC",0
"62",154695,"Luzonichthys earlei","French Polynesia",2010,"LC",0
"63",154698,"Lophodolos indicus","French Polynesia",2010,"LC",0
"64",154712,"Coryphaena hippurus","French Polynesia",2010,"LC",0
"65",154712,"Coryphaena hippurus","French Polynesia",2011,"LC",0
"66",154715,"Eustomias vulgaris","French Polynesia",2010,"LC",0
"67",154718,"Parma victoriae","French Polynesia",2010,"LC",0
"68",154721,"Sufflamen fraenatum","French Polynesia",2010,"LC",0
"69",154732,"Stegastes gascoynei","French Polynesia",2010,"LC",0
"70",154766,"Xestochilus nebulosus","French Polynesia",2010,"LC",0
"71",154794,"Oneirodes schmidti","French Polynesia",2010,"LC",0
"72",154820,"Alepisaurus ferox","French Polynesia",2010,"LC",0
"73",154825,"Eptatretus cirrhatus","French Polynesia",2010,"LC",0
"74",154825,"Eptatretus cirrhatus","French Polynesia",2011,"LC",0
"75",154827,"Inimicus caledonicus","French Polynesia",2010,"LC",0
"76",154833,"Bothus mancus","French Polynesia",2010,"LC",0
"77",154836,"Schindleria praematura","French Polynesia",2010,"LC",0
"78",154846,"Barbuligobius boehlkei","French Polynesia",2010,"LC",0
"79",154848,"Gnatholepis cauerensis","French Polynesia",2010,"LC",0
"80",154850,"Myripristis pralinia","French Polynesia",2010,"LC",0
"81",154855,"Hippichthys spicifer","French Polynesia",2010,"LC",0
"82",154855,"Hippichthys spicifer","French Polynesia",2012,"LC",0
"83",154855,"Hippichthys spicifer","French Polynesia",2017,"LC",0
"84",154861,"Istigobius rigilius","French Polynesia",2010,"LC",0
"85",154869,"Myctophum spinosum","French Polynesia",2010,"LC",0
"86",154878,"Pomacentrus smithi","French Polynesia",2010,"LC",0
"87",154888,"Pomacentrus wardi","French Polynesia",2010,"LC",0
"88",154889,"Pseudanthias ventralis","French Polynesia",2010,"LC",0
"89",154895,"Chelidonichthys kumu","French Polynesia",2010,"LC",0
"90",154898,"Eviota storthynx","French Polynesia",2010,"LC",0
"91",154906,"Brama dussumieri","French Polynesia",2010,"LC",0
"92",154910,"Apogon neotes","French Polynesia",2010,"LC",0
"93",154916,"Chaenophryne longiceps","French Polynesia",2010,"LC",0
"94",154917,"Favonigobius exquisitus","French Polynesia",2010,"LC",0
"95",154919,"Ateleopus japonicus","French Polynesia",2010,"LC",0
"96",154933,"Tetrosomus gibbosus","French Polynesia",2010,"LC",0
"97",154935,"Anacanthus barbatus","French Polynesia",2010,"LC",0
"98",154937,"Erisphex pottii","French Polynesia",2010,"LC",0
"99",154940,"Pseudanthias pictilis","French Polynesia",2010,"LC",0
"100",154943,"Heteroclinus whiteleggii","French Polynesia",2010,"LC",0
"101",154951,"Lethrinus genivittatus","French Polynesia",2010,"LC",0
"102",154952,"Apogonichthys ocellatus","French Polynesia",2010,"LC",0
"103",154958,"Heteroclinus roseus","French Polynesia",2010,"LC",0
"104",154959,"Bryaninops amplus","French Polynesia",2010,"LC",0
"105",154969,"Kuronezumia bubonis","French Polynesia",2010,"LC",0
"106",154973,"Bassozetus robustus","French Polynesia",2010,"LC",0
"107",154974,"Xanthichthys mento","French Polynesia",2010,"LC",0
"108",154978,"Apogon indicus","French Polynesia",2010,"LC",0
"109",154988,"Scopelosaurus herwigi","French Polynesia",2010,"LC",0
"110",154992,"Lophiodes caulinaris","French Polynesia",2010,"LC",0
"111",154993,"Pteraclis aesticola","French Polynesia",2010,"LC",0
"112",154996,"Calumia godeffroyi","French Polynesia",2010,"LC",0
"113",154997,"Bregmaceros atlanticus","French Polynesia",2010,"LC",0
"114",154998,"Argyropelecus hemigymnus","French Polynesia",2010,"LC",0
"115",154999,"Etelis carbunculus","French Polynesia",2016,"LC",0
"116",155001,"Chalixodytes tauensis","French Polynesia",2010,"LC",0
"117",155012,"Sternoptyx obscura","French Polynesia",2010,"LC",0
"118",155014,"Alectis ciliaris","French Polynesia",2010,"LC",0
"119",155030,"Macroramphosus scolopax","French Polynesia",2010,"LC",0
"120",155036,"Caulolatilus hubbsi","French Polynesia",2010,"LC",0
"121",155052,"Dactyloptena gilberti","French Polynesia",2010,"LC",0
"122",155055,"Himantolophus cornifer","French Polynesia",2010,"LC",0
"123",155057,"Uranoscopus japonicus","French Polynesia",2010,"LC",0
"124",155061,"Pomacentrus callainus","French Polynesia",2010,"LC",0
"125",155068,"Remora brachyptera","French Polynesia",2010,"LC",0
"126",155072,"Conger verreauxi","French Polynesia",2010,"LC",0
"127",155075,"Remora albescens","French Polynesia",2010,"LC",0
"128",155077,"Lycenchelys monstrosa","French Polynesia",2010,"LC",0
"129",155091,"Enchelycore schismatorhynchus","French Polynesia",2010,"LC",0
"130",155093,"Derichthys serpentinus","French Polynesia",2010,"LC",0
"131",155107,"Monopenchelys acuta","French Polynesia",2010,"LC",0
"132",155130,"Caranx sexfasciatus","French Polynesia",2010,"LC",0
"133",155141,"Kaupichthys brachychirus","French Polynesia",2010,"LC",0
"134",155142,"Laemonema rhodochir","French Polynesia",2010,"LC",0
"135",155153,"Atherion elymus","French Polynesia",2010,"LC",0
"136",155159,"Trachinotus rhodopus","French Polynesia",2010,"LC",0
"137",155160,"Hygophum proximum","French Polynesia",2010,"LC",0
"138",155165,"Corythoichthys amplexus","French Polynesia",2010,"LC",0
"139",155165,"Corythoichthys amplexus","French Polynesia",2016,"LC",0
"140",155172,"Pontinus macrocephalus","French Polynesia",2010,"LC",0
"141",155184,"Neobythites bimaculatus","French Polynesia",2010,"LC",0
"142",155189,"Scopeloberyx opisthopterus","French Polynesia",2010,"LC",0
"143",155190,"Simenchelys parasitica","French Polynesia",2010,"LC",0
"144",155200,"Parapercis xanthozona","French Polynesia",2010,"LC",0
"145",155203,"Talismania bifurcata","French Polynesia",2010,"LC",0
"146",155205,"Caulolatilus affinis","French Polynesia",2010,"LC",0
"147",155211,"Synaphobranchus oregoni","French Polynesia",2010,"LC",0
"148",155219,"Paracentropogon vespa","French Polynesia",2010,"LC",0
"149",155222,"Pentaceros japonicus","French Polynesia",2010,"LC",0
"150",155224,"Scorpaenodes hirsutus","French Polynesia",2010,"LC",0
"151",155229,"Nemateleotris magnifica","French Polynesia",2010,"LC",0
"152",155232,"Rhamphocetichthys savagei","French Polynesia",2010,"LC",0
"153",155245,"Mulloidichthys dentatus","French Polynesia",2010,"LC",0
"154",155246,"Synaphobranchus kaupii","French Polynesia",2010,"LC",0
"155",155255,"Neopomacentrus bankieri","French Polynesia",2010,"LC",0
"156",155257,"Cheilopogon rapanouiensis","French Polynesia",2010,"LC",0
"157",155260,"Benthosema pterotum","French Polynesia",2010,"LC",0
"158",155261,"Brachypleura novaezeelandiae","French Polynesia",2010,"LC",0
"159",155277,"Antennarius analis","French Polynesia",2010,"LC",0
"160",155278,"Microgobius erectus","French Polynesia",2010,"LC",0
"161",155301,"Rhinomuraena quaesita","French Polynesia",2010,"LC",0
"162",155304,"Pomacentrus milleri","French Polynesia",2010,"LC",0
"163",155320,"Nannobrachium gibbsi","French Polynesia",2010,"LC",0
"164",155322,"Plectrogenium nanum","French Polynesia",2010,"LC",0
"165",155329,"Ophichthus altipennis","French Polynesia",2010,"LC",0
"166",155330,"Pomadasys maculatus","French Polynesia",2010,"LC",0
"167",158625,"Odontanthias tapui","French Polynesia",2010,"LC",0
"168",158627,"Pseudanthias pleurotaenia","French Polynesia",2010,"LC",0
"169",162606,"Sepia novaehollandiae","French Polynesia",2012,"LC",0
"170",162633,"Sepia rhoda","French Polynesia",2012,"LC",0
"171",162899,"Amphitretus pelagicus","French Polynesia",2014,"LC",0
"172",162909,"Egea inermis","French Polynesia",2014,"LC",0
"173",162926,"Eucleoteuthis luminosa","French Polynesia",2014,"LC",0
"174",162941,"Cranchia scabra","French Polynesia",2014,"LC",0
"175",162956,"Brachioteuthis picta","French Polynesia",2014,"LC",0
"176",162961,"Joubiniteuthis portieri","French Polynesia",2014,"LC",0
"177",162986,"Japetella diaphana","French Polynesia",2014,"LC",0
"178",162988,"Vitreledonella richardi","French Polynesia",2014,"LC",0
"179",163071,"Ornithoteuthis volatilis","French Polynesia",2014,"LC",0
"180",163080,"Argonauta argo","French Polynesia",2014,"LC",0
"181",163083,"Argonauta nouryi","French Polynesia",2014,"LC",0
"182",163152,"Sthenoteuthis oualaniensis","French Polynesia",2014,"LC",0
"183",163163,"Ommastrephes bartramii","French Polynesia",2014,"LC",0
"184",163184,"Abralia andamanica","French Polynesia",2014,"LC",0
"185",163207,"Haliphron atlanticus","French Polynesia",2014,"LC",0
"186",163211,"Argonauta hians","French Polynesia",2014,"LC",0
"187",163218,"Liocranchia reinhardti","French Polynesia",2014,"LC",0
"188",163228,"Thysanoteuthis rhombus","French Polynesia",2014,"LC",0
"189",163255,"Enoploteuthis reticulata","French Polynesia",2014,"LC",0
"190",163256,"Discoteuthis discus","French Polynesia",2014,"LC",0
"191",163267,"Taningia danae","French Polynesia",2014,"LC",0
"192",163276,"Teuthowenia pellucida","French Polynesia",2014,"LC",0
"193",163288,"Bathyteuthis abyssicola","French Polynesia",2014,"LC",0
"194",163294,"Hyaloteuthis pelagica","French Polynesia",2014,"LC",0
"195",163302,"Abralia astrosticta","French Polynesia",2014,"LC",0
"196",163312,"Bolitaena pygmaea","French Polynesia",2014,"LC",0
"197",163338,"Bathothauma lyromma","French Polynesia",2014,"LC",0
"198",163353,"Pyroteuthis margaritifera","French Polynesia",2014,"LC",0
"199",166077,"Eleotris fusca","French Polynesia",2010,"LC",0
"200",166077,"Eleotris fusca","French Polynesia",2012,"LC",0
"201",166077,"Eleotris fusca","French Polynesia",2017,"LC",0
"202",166138,"Bostrychus sinensis","French Polynesia",2012,"LC",0
"203",166189,"Anguilla marmorata","French Polynesia",2012,"LC",0
"204",166189,"Anguilla marmorata","French Polynesia",2014,"LC",0
"205",166575,"Gazza minuta","French Polynesia",2012,"LC",0
"206",166575,"Gazza minuta","French Polynesia",2017,"LC",0
"207",166856,"Chelon macrolepis","French Polynesia",2012,"LC",0
"208",166856,"Chelon macrolepis","French Polynesia",2018,"LC",0
"209",170350,"Coryphaena equiselis","French Polynesia",2011,"LC",0
"210",172443,"Bathygobius fuscus","French Polynesia",2011,"LC",0
"211",172443,"Bathygobius fuscus","French Polynesia",2017,"LC",0
"212",172469,"Hippichthys penicillus","French Polynesia",2011,"LC",0
"213",172469,"Hippichthys penicillus","French Polynesia",2017,"LC",0
"214",172497,"Zenarchopterus dispar","French Polynesia",2012,"LC",0
"215",176066,"Chiroteuthis veranyi","French Polynesia",2014,"LC",0
"216",176079,"Stigmatoteuthis dofleini","French Polynesia",2014,"LC",0
"217",176088,"Pterygioteuthis giardi","French Polynesia",2014,"LC",0
"218",178060,"Ammodytoides gilli","French Polynesia",2010,"LC",0
"219",178064,"Centropomus nigrescens","French Polynesia",2010,"LC",0
"220",178106,"Sphyraena ensis","French Polynesia",2010,"LC",0
"221",178107,"Sphyraena idiastes","French Polynesia",2010,"LC",0
"222",178111,"Fistularia corneta","French Polynesia",2010,"LC",0
"223",178111,"Fistularia corneta","French Polynesia",2017,"LC",0
"224",178889,"Enneapterygius rhabdotus","French Polynesia",2014,"LC",0
"225",178892,"Ucla xenogrammus","French Polynesia",2014,"LC",0
"226",178894,"Enneapterygius flavoccipitis","French Polynesia",2014,"LC",0
"227",178897,"Heteroclinus heptaeolus","French Polynesia",2014,"LC",0
"228",178904,"Forsterygion lapillum","French Polynesia",2014,"LC",0
"229",178911,"Enneapterygius randalli","French Polynesia",2014,"LC",0
"230",178912,"Helcogramma ellioti","French Polynesia",2014,"LC",0
"231",178913,"Enneapterygius fuscoventer","French Polynesia",2014,"LC",0
"232",178928,"Enneapterygius signicauda","French Polynesia",2014,"LC",0
"233",178932,"Enneapterygius tutuilae","French Polynesia",2014,"LC",0
"234",178937,"Enneapterygius niger","French Polynesia",2014,"LC",0
"235",178942,"Sticharium dorsale","French Polynesia",2014,"LC",0
"236",178950,"Enneapterygius bahasa","French Polynesia",2014,"LC",0
"237",178951,"Springerichthys kulbickii","French Polynesia",2014,"LC",0
"238",178957,"Enneapterygius pyramis","French Polynesia",2014,"LC",0
"239",178963,"Enneapterygius triserialis","French Polynesia",2014,"LC",0
"240",178972,"Cristiceps aurantiacus","French Polynesia",2014,"LC",0
"241",178986,"Enneapterygius rufopileus","French Polynesia",2014,"LC",0
"242",178989,"Helcogramma hudsoni","French Polynesia",2014,"LC",0
"243",178990,"Forsterygion flavonigrum","French Polynesia",2014,"LC",0
"244",178991,"Enneapterygius williamsi","French Polynesia",2014,"LC",0
"245",178992,"Norfolkia brachylepis","French Polynesia",2014,"LC",0
"246",178995,"Notoclinops caerulepunctus","French Polynesia",2014,"LC",0
"247",179006,"Enneapterygius atrogulare","French Polynesia",2014,"LC",0
"248",179012,"Helcogramma capidata","French Polynesia",2014,"LC",0
"249",179014,"Forsterygion varium","French Polynesia",2014,"LC",0
"250",179019,"Enneapterygius larsonae","French Polynesia",2014,"LC",0
"251",179035,"Ceratobregma acanthops","French Polynesia",2014,"LC",0
"252",179042,"Cristiceps australis","French Polynesia",2014,"LC",0
"253",179043,"Norfolkia thomasi","French Polynesia",2014,"LC",0
"254",179055,"Lepidoblennius haplodactylus","French Polynesia",2014,"LC",0
"255",179057,"Enneapterygius gracilis","French Polynesia",2014,"LC",0
"256",179062,"Enneapterygius nigricauda","French Polynesia",2014,"LC",0
"257",179065,"Norfolkia squamiceps","French Polynesia",2014,"LC",0
"258",179074,"Enneapterygius minutus","French Polynesia",2014,"LC",0
"259",179085,"Enneapterygius philippinus","French Polynesia",2014,"LC",0
"260",179102,"Enneapterygius elegans","French Polynesia",2014,"LC",0
"261",179107,"Enneapterygius howensis","French Polynesia",2014,"LC",0
"262",179109,"Helcogramma chica","French Polynesia",2014,"LC",0
"263",179112,"Enneapterygius hemimelas","French Polynesia",2014,"LC",0
"264",180866,"Mugilogobius platystomus","French Polynesia",2012,"LC",0
"265",181547,"Microphis brachyurus","French Polynesia",2013,"LC",0
"266",181547,"Microphis brachyurus","French Polynesia",2017,"LC",0
"267",183158,"Kuhlia rupestris","French Polynesia",2012,"LC",0
"268",183158,"Kuhlia rupestris","French Polynesia",2017,"LC",0
"269",183210,"Symphurus undecimplerus","French Polynesia",2010,"LC",0
"270",183211,"Eucinostomus dowii","French Polynesia",2010,"LC",0
"271",183213,"Selene peruviana","French Polynesia",2010,"LC",0
"272",183225,"Kyphosus analogus","French Polynesia",2010,"LC",0
"273",183227,"Symphurus atricaudus","French Polynesia",2010,"LC",0
"274",183229,"Synchiropus atrilabiatus","French Polynesia",2010,"LC",0
"275",183233,"Tomicodon zebra","French Polynesia",2010,"LC",0
"276",183246,"Gymnothorax panamensis","French Polynesia",2010,"LC",0
"277",183250,"Gobiesox adustus","French Polynesia",2010,"LC",0
"278",183259,"Apogon atradorsatus","French Polynesia",2010,"LC",0
"279",183263,"Synodus lacertinus","French Polynesia",2010,"LC",0
"280",183269,"Ogilbia robertsoni","French Polynesia",2010,"LC",0
"281",183280,"Lepidonectes clarkhubbsi","French Polynesia",2010,"LC",0
"282",183281,"Pontinus furcirhinus","French Polynesia",2010,"LC",0
"283",183285,"Microgobius emblematicus","French Polynesia",2010,"LC",0
"284",183293,"Caranx vinctus","French Polynesia",2010,"LC",0
"285",183317,"Haemulon steindachneri","French Polynesia",2010,"LC",0
"286",183317,"Haemulon steindachneri","French Polynesia",2016,"LC",0
"287",183319,"Coralliozetus springeri","French Polynesia",2010,"LC",0
"288",183324,"Caranx caninus","French Polynesia",2010,"LC",0
"289",183335,"Lythrypnus pulchellus","French Polynesia",2010,"LC",0
"290",183339,"Peprilus medius","French Polynesia",2010,"LC",0
"291",183355,"Ophidion scrippsae","French Polynesia",2010,"LC",0
"292",183363,"Lythrypnus dalli","French Polynesia",2010,"LC",0
"293",183374,"Hippoglossina bollmani","French Polynesia",2010,"LC",0
"294",183375,"Echidna nocturna","French Polynesia",2010,"LC",0
"295",183376,"Symphurus elongatus","French Polynesia",2010,"LC",0
"296",183384,"Paraconger similis","French Polynesia",2010,"LC",0
"297",183396,"Heteristius cinctus","French Polynesia",2010,"LC",0
"298",183402,"Ophidion imitator","French Polynesia",2010,"LC",0
"299",183403,"Apogon pacificus","French Polynesia",2010,"LC",0
"300",183410,"Bellator loxias","French Polynesia",2010,"LC",0
"301",183418,"Arcos rhodospilus","French Polynesia",2010,"LC",0
"302",183419,"Apogon retrosella","French Polynesia",2010,"LC",0
"303",183420,"Malacoctenus ebisui","French Polynesia",2010,"LC",0
"304",183426,"Zalieutes elater","French Polynesia",2010,"LC",0
"305",183429,"Oligoplites refulgens","French Polynesia",2010,"LC",0
"306",183430,"Neobythites stelliferoides","French Polynesia",2010,"LC",0
"307",183434,"Anisotremus caesius","French Polynesia",2010,"LC",0
"308",183436,"Gnathophis cinctus","French Polynesia",2010,"LC",0
"309",183444,"Pareques viola","French Polynesia",2010,"LC",0
"310",183446,"Tomicodon boehlkei","French Polynesia",2010,"LC",0
