rgn_id,year,mean_cat,ico_status,n_spp
147,1992,0.304,69.6,25
147,1993,0.304,69.6,25
147,1994,0.304,69.6,25
147,1995,0.304,69.6,25
147,1996,0.308,69.19999999999999,25
147,1997,0.308,69.19999999999999,25
147,1998,0.308,69.19999999999999,25
147,1999,0.308,69.19999999999999,25
147,2e3,0.304,69.6,25
147,2001,0.304,69.6,25
147,2002,0.304,69.6,25
147,2003,0.304,69.6,25
147,2004,0.312,68.8,25
147,2005,0.312,68.8,25
147,2006,0.32,68,25
147,2007,0.34615,65.385,26
147,2008,0.33077,66.923,26
147,2009,0.33333,66.667,27
147,2010,0.33333,66.667,27
147,2011,0.33333,66.667,27
147,2012,0.33333,66.667,27
147,2013,0.32593,67.407,27
147,2014,0.32593,67.407,27
147,2015,0.32963,67.037,27
147,2016,0.33704,66.29599999999999,27
147,2017,0.34444,65.556,27
147,2018,0.34444,65.556,27
