rgn_id,sciname,iucn_sid,cat,year
147,Caretta caretta,3897,VU,1992
147,Caretta caretta,3897,VU,1993
147,Caretta caretta,3897,VU,1994
147,Caretta caretta,3897,VU,1995
147,Caretta caretta,3897,EN,1996
147,Caretta caretta,3897,EN,1997
147,Caretta caretta,3897,EN,1998
147,Caretta caretta,3897,EN,1999
147,Caretta caretta,3897,EN,2e3
147,Caretta caretta,3897,EN,2001
147,Caretta caretta,3897,EN,2002
147,Caretta caretta,3897,EN,2003
147,Caretta caretta,3897,EN,2004
147,Caretta caretta,3897,EN,2005
147,Caretta caretta,3897,EN,2006
147,Caretta caretta,3897,EN,2007
147,Caretta caretta,3897,EN,2008
147,Caretta caretta,3897,EN,2009
147,Caretta caretta,3897,EN,2010
147,Caretta caretta,3897,EN,2011
147,Caretta caretta,3897,EN,2012
147,Caretta caretta,3897,EN,2013
147,Caretta caretta,3897,EN,2014
147,Caretta caretta,3897,VU,2015
147,Caretta caretta,3897,VU,2016
147,Caretta caretta,3897,VU,2017
147,Caretta caretta,3897,VU,2018
147,Cheilinus undulatus,4592,VU,1992
147,Cheilinus undulatus,4592,VU,1993
147,Cheilinus undulatus,4592,VU,1994
147,Cheilinus undulatus,4592,VU,1995
147,Cheilinus undulatus,4592,VU,1996
147,Cheilinus undulatus,4592,VU,1997
147,Cheilinus undulatus,4592,VU,1998
147,Cheilinus undulatus,4592,VU,1999
147,Cheilinus undulatus,4592,VU,2e3
147,Cheilinus undulatus,4592,VU,2001
147,Cheilinus undulatus,4592,VU,2002
147,Cheilinus undulatus,4592,VU,2003
147,Cheilinus undulatus,4592,EN,2004
147,Cheilinus undulatus,4592,EN,2005
147,Cheilinus undulatus,4592,EN,2006
147,Cheilinus undulatus,4592,EN,2007
147,Cheilinus undulatus,4592,EN,2008
147,Cheilinus undulatus,4592,EN,2009
147,Cheilinus undulatus,4592,EN,2010
147,Cheilinus undulatus,4592,EN,2011
147,Cheilinus undulatus,4592,EN,2012
147,Cheilinus undulatus,4592,EN,2013
147,Cheilinus undulatus,4592,EN,2014
147,Cheilinus undulatus,4592,EN,2015
147,Cheilinus undulatus,4592,EN,2016
147,Cheilinus undulatus,4592,EN,2017
147,Cheilinus undulatus,4592,EN,2018
147,Chelonia mydas,4615,EN,1992
147,Chelonia mydas,4615,EN,1993
147,Chelonia mydas,4615,EN,1994
147,Chelonia mydas,4615,EN,1995
147,Chelonia mydas,4615,EN,1996
147,Chelonia mydas,4615,EN,1997
147,Chelonia mydas,4615,EN,1998
