goal,element,element_name,po_chemicals_mra_2018,po_pathogens_mra_2018,po_nutrients_mra_2018,po_trash,sp_alien,hd_intertidal_mra_2018,hd_coasteng_mra_2018,cc_sst_mra_2018,cc_acid_mra_2018,cc_uv,cc_slr_mra_2018,ss_wgi,ss_spi
AO,,,1,,1,,1,1,1,,,,,1,1
CP,coral,,1,,2,,1,,,3,1,1,2,1,1
CP,mangroves,,1,,1,,,3,3,,,,2,1,1
CS,mangroves,,1,,1,,,3,3,,,,1,1,1
CW,,,3,3,3,3,,2,2,,,,,1,1
ECO,Fishing_aquaculture,Fishing_aquaculture,2,,1,,1,1,1,,,,,1,1
ECO,Research,Research,,,,1,,,,,,,,1,1
ECO,Tourism_recreation,Tourism_recreation,3,3,3,3,,,,,,,2,1,1
ECO,Industry_manufactoring,Industry_manufactoring,,,,,,,,,,,1,1,1
ECO,Marine_transport,Marine_transport,,,,,1,,,,,,,1,1
FIS,,,1,,1,,1,1,1,,,,,1,1
HAB,coral,,1,,2,,1,,,3,1,1,1,1,1
HAB,mangroves,,1,,1,,,3,3,,,,1,1,1
ICO,,,3,,1,1,1,3,3,1,1,,,1,1
LIV,Fishing_aquaculture,Fishing_aquaculture,2,,1,,1,1,1,,,,,1,1
LIV,Research,Research,,,,1,,,,,,,,1,1
LIV,Industry_manufactoring,Industry_manufactoring,,,,,,,,,,,,1,1
LIV,Tourism_recreation,Tourism_recreation,3,3,3,3,,,,,,,2,1,1
LIV,Marine_transport,Marine_transport,,,,,1,,,,,,,1,1
LSP,,,2,,2,3,1,3,,,,,1,1,1
SPP,,,2,,3,1,1,2,,1,1,1,,1,1
TR,,,3,3,3,3,,,,,,,2,1,1
